"Question","Answer"
"What is a stock","A stock represents ownership in a company and gives shareholders a claim on its assets and earnings."
"What is a bond","A bond is a fixed-income instrument that represents a loan made by an investor to a borrower."
"What is a share","A share is a single unit of ownership in a company that represents a portion of its capital."
"What is a mutual fund","A mutual fund pools money from many investors to invest in a diversified portfolio of assets."
"What is an ETF","An ETF or Exchange Traded Fund is a basket of securities that tracks an index and trades like a stock."
"What is diversification","Diversification means spreading investments across various assets to reduce risk."
"What is inflation","Inflation is the rate at which prices for goods and services increase over time."
"What is deflation","Deflation is a decline in the general price level of goods and services."
"What is a bull market","A bull market is a period when stock prices are rising or expected to rise."
"What is a bear market","A bear market is a period when stock prices are falling by 20 percent or more."
"What is market capitalization","Market capitalization is the total value of a company's outstanding shares."
"What is a dividend","A dividend is a payment made by a company to its shareholders from its profits."
"What is compound interest","Compound interest is interest calculated on both the initial principal and the accumulated interest."
"What is a portfolio","A portfolio is a collection of investments held by an individual or institution."
"What is risk management","Risk management involves identifying and mitigating potential financial losses."
"What is liquidity","Liquidity refers to how quickly and easily an asset can be converted into cash."
"What is a derivative","A derivative is a financial contract whose value is based on an underlying asset."
"What is a futures contract","A futures contract is an agreement to buy or sell an asset at a predetermined price on a specific date."
"What is an option","An option is a contract giving the buyer the right but not the obligation to buy or sell an asset at a set price."
"What is short selling","Short selling is selling a borrowed security with the intent to buy it back at a lower price."
"What is the stock exchange","A stock exchange is a marketplace where securities are bought and sold."
"What is an index","An index measures the performance of a group of stocks or other assets."
"What is the S&P 500","The S&P 500 is a stock market index tracking the 500 largest US companies by market capitalization."
"What is the Dow Jones Industrial Average","The Dow Jones Industrial Average is a stock index that measures the performance of 30 large US companies."
"What is NASDAQ","NASDAQ is a US stock exchange focused on technology and growth companies."
"What is the foreign exchange market","The foreign exchange market is where currencies are traded globally."
"What is forex trading","Forex trading is the act of buying and selling currencies to profit from exchange rate changes."
"What is GDP","Gross Domestic Product or GDP is the total value of goods and services produced in a country over a specific period."
"What is monetary policy","Monetary policy refers to actions by a central bank to control money supply and interest rates."
"What is fiscal policy","Fiscal policy involves government spending and taxation to influence the economy."
"What is a central bank","A central bank is an institution that manages a nation's currency and monetary policy."
"What is the Federal Reserve","The Federal Reserve is the central bank of the United States."
"What is an interest rate","An interest rate is the percentage charged for borrowing money or paid for saving it."
"What is credit risk","Credit risk is the possibility that a borrower will fail to repay a loan."
"What is market risk","Market risk is the risk of losses due to changes in market prices."
"What is inflation risk","Inflation risk is the danger that inflation will reduce the real value of returns."
"What is a blue chip stock","A blue chip stock is a share of a large, well-established, and financially sound company."
"What is an IPO","An IPO or Initial Public Offering is when a company first sells its shares to the public."
"What is insider trading","Insider trading is buying or selling securities using confidential company information."
"What is financial leverage","Financial leverage is using borrowed funds to increase potential investment returns."
"What is a hedge fund","A hedge fund is a private investment fund that uses various strategies to generate high returns."
"What is an asset","An asset is any resource with economic value that can provide future benefits."
"What is a liability","A liability is a company’s legal financial debt or obligation."
"What is equity","Equity represents ownership in a company and the residual interest after liabilities are deducted from assets."
"What is the difference between stocks and bonds","Stocks represent ownership while bonds represent a loan to a company or government."
"What is cryptocurrency","Cryptocurrency is a digital or virtual currency that uses cryptography for security."
"What is Bitcoin","Bitcoin is a decentralized digital currency that operates without a central bank."
"What is blockchain","Blockchain is a distributed ledger technology that records transactions securely and transparently."
"What is market volatility","Market volatility refers to how much and how quickly the price of assets change."
"What is technical analysis","Technical analysis is a method of predicting price movements based on charts and patterns."
"What is fundamental analysis","Fundamental analysis evaluates a company’s financial statements to determine its value."
"What is an economic recession","An economic recession is a significant decline in economic activity across the economy."
